"[-87, 49, -15, 95, -3, -2, -4]"
"[-87, 47, -16, 96, -3, -1, -4]"
"[-87, 45, -16, 96, -3, 0, -4]"
"[-87, 43, -16, 96, -3, 0, -4]"
"[-87, 41, -16, 96, -4, 0, -4]"
"[-87, 39, -16, 96, -4, 1, -4]"
"[-87, 39, -17, 96, -5, 1, -4]"
"[-87, 39, -20, 96, -5, 1, -4]"
"[-87, 39, -21, 96, -6, 1, -4]"
"[-87, 39, -22, 96, -6, 1, -4]"
"[-87, 39, -24, 96, -6, 1, -4]"
"[-87, 39, -26, 96, -6, 1, -4]"
"[-87, 40, -28, 96, -6, 1, -4]"
"[-87, 42, -30, 95, -6, 1, -4]"
"[-87, 43, -33, 95, -7, 1, -4]"
"[-87, 45, -35, 95, -7, 0, -4]"
"[-87, 47, -37, 95, -6, 0, -4]"
"[-87, 49, -38, 94, -6, 0, -4]"
"[-87, 50, -41, 94, -6, 0, -4]"
"[-87, 52, -43, 94, -5, 0, -4]"
"[-87, 53, -45, 94, -4, -1, -4]"
"[-87, 53, -47, 93, -4, -1, -4]"
"[-87, 53, -48, 93, -4, -2, -4]"
"[-87, 53, -48, 93, -4, -2, -4]"
"[-87, 53, -48, 93, -4, -2, -4]"
"[-87, 55, -50, 93, -5, -2, -4]"
"[-87, 58, -53, 93, -5, -2, -4]"
"[-87, 60, -55, 93, -4, -2, -4]"
"[-87, 62, -58, 93, -3, -3, -4]"
"[-87, 63, -60, 93, -3, -3, -4]"
"[-87, 64, -62, 93, -3, -4, -4]"
"[-87, 65, -64, 93, -3, -4, -4]"
"[-87, 66, -65, 93, -3, -4, -4]"
"[-87, 68, -67, 93, -3, -4, -4]"
"[-87, 70, -69, 93, -3, -4, -4]"
"[-87, 72, -72, 93, -3, -5, -4]"
"[-87, 74, -74, 93, -3, -6, -4]"
"[-87, 75, -75, 93, -3, -6, -4]"
"[-87, 76, -77, 93, -3, -6, -4]"
"[-87, 78, -78, 93, -4, -6, -4]"
"[-87, 80, -81, 93, -4, -6, -4]"
"[-87, 82, -84, 93, -4, -6, -4]"
"[-87, 85, -87, 93, -4, -6, -4]"
"[-87, 87, -90, 93, -4, -6, -4]"
"[-87, 89, -92, 93, -4, -6, -4]"
"[-87, 90, -94, 93, -4, -6, -4]"
"[-87, 92, -96, 93, -4, -6, -4]"
"[-87, 93, -98, 93, -4, -6, -4]"
"[-87, 95, -100, 93, -4, -6, -4]"
"[-87, 96, -101, 93, -4, -6, -4]"
"[-87, 96, -102, 93, -4, -6, -4]"
"[-87, 97, -102, 93, -5, -6, -4]"
"[-87, 98, -102, 93, -7, -6, -4]"
"[-87, 98, -102, 93, -7, -6, -4]"
"[-87, 98, -102, 93, -7, -6, -4]"
"[-87, 98, -102, 93, -7, -6, -4]"
"[-87, 98, -102, 93, -8, -6, -4]"
"[-87, 99, -104, 93, -8, -6, -4]"
"[-87, 100, -105, 93, -8, -5, -4]"
"[-87, 100, -105, 93, -7, -5, -4]"
"[-87, 100, -105, 93, -7, -5, -4]"
"[-87, 100, -105, 93, -7, -5, -4]"
"[-87, 100, -105, 93, -7, -6, -4]"
"[-87, 99, -105, 93, -5, -7, -4]"
"[-87, 96, -103, 93, -3, -8, -4]"
"[-87, 92, -100, 93, -3, -9, -4]"
"[-87, 89, -96, 93, -3, -9, -4]"
"[-87, 85, -91, 93, -3, -9, -4]"
"[-87, 81, -86, 93, -3, -9, -4]"
"[-87, 76, -82, 93, -4, -12, -4]"
"[-87, 72, -78, 93, -5, -19, -4]"
"[-87, 67, -76, 93, -5, -32, -4]"
"[-87, 64, -74, 93, -5, -49, -4]"
"[-87, 60, -72, 93, -5, -68, -4]"
"[-87, 56, -68, 94, -5, -81, -4]"
"[-87, 51, -63, 95, -5, -86, -4]"
"[-87, 45, -57, 95, -7, -87, -4]"
"[-87, 40, -51, 95, -9, -87, -4]"
"[-87, 36, -45, 95, -10, -88, -4]"
"[-87, 33, -40, 95, -10, -88, -4]"
"[-87, 31, -34, 95, -10, -88, -4]"
"[-87, 29, -29, 95, -10, -88, -4]"
"[-87, 26, -24, 95, -10, -88, -4]"
"[-87, 22, -18, 96, -10, -88, -4]"
"[-87, 18, -13, 97, -11, -88, -4]"
"[-87, 14, -8, 98, -11, -88, -4]"
"[-87, 12, -4, 98, -11, -88, -4]"
"[-87, 10, -1, 98, -10, -88, -4]"
"[-87, 9, 1, 98, -9, -88, -4]"
"[-87, 9, 1, 98, -9, -88, -4]"
"[-87, 9, 1, 98, -9, -89, -4]"
"[-87, 8, 1, 95, -9, -88, -4]"
"[-87, 8, 1, 80, -8, -78, -4]"
"[-87, 8, 1, 53, -7, -52, -4]"
"[-87, 8, 1, 27, -2, -23, -4]"
"[-87, 8, 1, 8, 6, 0, -4]"
"[-87, 8, 1, -1, 9, 9, -4]"
"[-87, 8, 1, -2, 10, 9, -4]"
"[-87, 7, 1, -2, 12, 8, -4]"
"[-87, 4, 1, -1, 16, 8, -4]"
