"[-90, 0, 0, -1, 20, 8, -3]"
"[-90, 2, -11, -1, 23, 8, -3]"
"[-90, 10, -18, -1, 26, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, -1, 25, 7, -3]"
"[-90, 15, -22, 7, 25, 7, -3]"
"[-90, 15, -22, 11, 27, 4, -3]"
"[-90, 15, -22, 21, 28, -12, -3]"
"[-90, 21, -22, 33, 28, -28, -3]"
"[-90, 30, -22, 46, 27, -47, -3]"
"[-90, 34, -24, 59, 27, -61, -3]"
"[-90, 36, -33, 61, 33, -63, -3]"
"[-90, 37, -40, 61, 42, -57, -3]"
"[-90, 37, -45, 61, 47, -53, -3]"
"[-90, 39, -46, 61, 48, -51, -3]"
"[-90, 44, -46, 62, 54, -50, -3]"
"[-90, 45, -46, 60, 59, -49, -3]"
"[-90, 45, -46, 56, 61, -47, -3]"
"[-90, 45, -46, 52, 66, -43, -3]"
"[-90, 45, -46, 50, 71, -39, -3]"
"[-90, 45, -46, 47, 71, -38, -3]"
"[-90, 45, -46, 47, 71, -40, -3]"
"[-90, 51, -47, 48, 71, -41, -3]"
"[-90, 57, -51, 51, 71, -44, -3]"
"[-90, 62, -56, 51, 70, -47, -3]"
"[-90, 62, -57, 51, 70, -47, -3]"
"[-90, 56, -59, 47, 70, -46, -3]"
"[-90, 47, -61, 36, 71, -36, -3]"
"[-90, 42, -61, 35, 72, -32, -3]"
"[-90, 42, -61, 45, 72, -36, -3]"
"[-90, 47, -61, 50, 72, -40, -3]"
"[-90, 49, -61, 53, 72, -44, -3]"
"[-90, 49, -59, 49, 72, -44, -3]"
"[-90, 44, -59, 31, 72, -33, -3]"
"[-90, 37, -59, 21, 72, -23, -3]"
"[-90, 34, -59, 23, 72, -22, -3]"
"[-90, 34, -59, 32, 72, -27, -3]"
"[-90, 34, -59, 33, 71, -28, -3]"
"[-89, 33, -59, 33, 71, -28, -3]"
"[-79, 32, -59, 31, 70, -27, -3]"
"[-66, 32, -59, 22, 67, -21, -3]"
"[-53, 32, -59, 14, 67, -13, -3]"
"[-40, 32, -59, 11, 63, -4, -3]"
"[-37, 32, -59, 9, 61, 2, -3]"
"[-35, 32, -59, 7, 61, 4, -3]"
"[-32, 32, -54, -2, 59, 10, -3]"
"[-32, 32, -45, -3, 53, 12, -3]"
"[-32, 32, -42, 0, 51, 12, -3]"
"[-32, 34, -42, 1, 48, 12, -3]"
"[-32, 39, -47, 3, 50, 9, -3]"
"[-32, 45, -58, -1, 57, 9, -3]"
"[-32, 50, -67, -3, 67, 9, -3]"
"[-32, 54, -70, -1, 72, 8, -3]"
"[-32, 57, -70, 4, 72, 7, -3]"
"[-32, 60, -70, 4, 72, 6, -3]"
"[-32, 61, -70, 4, 72, 6, -3]"
"[-32, 61, -70, -1, 72, 8, -3]"
"[-32, 61, -68, -1, 72, 10, -3]"
"[-32, 61, -66, 1, 72, 9, -3]"
"[-32, 61, -66, 8, 72, 7, 10]"
"[-32, 61, -66, 6, 72, 8, 44]"
"[-32, 61, -66, 3, 72, 8, 50]"
"[-32, 61, -63, 1, 72, 8, 50]"
"[-32, 61, -60, 1, 71, 8, 50]"
"[-32, 61, -58, 1, 68, 8, 50]"
"[-32, 61, -54, 1, 64, 8, 50]"
"[-32, 62, -53, 1, 55, 8, 50]"
"[-32, 65, -53, 1, 53, 7, 50]"
"[-32, 65, -52, 1, 52, 7, 50]"
"[-32, 65, -51, 1, 52, 7, 50]"
"[-32, 65, -47, 1, 52, 7, 50]"
"[-32, 65, -47, 1, 49, 7, 50]"
"[-32, 65, -47, 0, 48, 7, 50]"
"[-32, 65, -47, -1, 48, 7, 50]"
"[-32, 65, -47, 0, 48, 7, 50]"
"[-32, 65, -47, 0, 46, 7, 50]"
"[-32, 65, -47, 0, 46, 7, 50]"
"[-32, 65, -47, 0, 46, 7, 50]"
"[-32, 66, -47, 0, 47, 7, 50]"
"[-32, 68, -47, 0, 47, 7, 50]"
"[-32, 68, -47, 0, 47, 7, 50]"
"[-32, 70, -47, 0, 48, 7, 50]"
"[-32, 70, -47, 0, 48, 7, 50]"
"[-32, 70, -47, 0, 48, 7, 50]"
"[-32, 71, -47, 0, 49, 7, 50]"
"[-32, 72, -47, 0, 46, 7, 50]"
"[-32, 72, -47, 0, 45, 7, 50]"
"[-32, 72, -47, 0, 45, 7, 50]"
"[-32, 72, -47, 0, 46, 7, 50]"
"[-32, 72, -47, 0, 48, 7, 49]"
"[-32, 72, -47, 0, 47, 7, 47]"
"[-32, 72, -47, 0, 47, 7, 47]"
"[-32, 72, -47, 0, 47, 7, 47]"
"[-32, 72, -47, 0, 47, 7, 34]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 72, -47, 0, 46, 7, 30]"
"[-32, 71, -47, 0, 46, 7, 30]"
"[-32, 70, -47, 0, 46, 7, 30]"
"[-32, 69, -47, 0, 46, 7, 30]"
"[-32, 68, -47, 0, 46, 7, 30]"
"[-32, 67, -47, 0, 46, 7, 30]"
"[-32, 67, -47, 0, 46, 7, 30]"
"[-32, 67, -48, 0, 46, 7, 30]"
"[-32, 67, -52, 0, 46, 6, 30]"
"[-32, 67, -53, 0, 48, 6, 30]"
"[-32, 67, -53, 0, 50, 6, 30]"
"[-32, 64, -53, 0, 51, 5, 30]"
"[-32, 62, -53, 0, 52, 5, 30]"
"[-32, 60, -53, 0, 53, 4, 30]"
"[-32, 57, -53, 0, 54, 3, 30]"
"[-32, 55, -53, 0, 56, 3, 30]"
"[-32, 54, -53, 0, 57, 2, 30]"
"[-32, 50, -53, 0, 59, 2, 30]"
"[-32, 48, -53, 1, 61, 1, 30]"
"[-32, 48, -53, 7, 61, -3, 30]"
"[-32, 48, -53, 11, 61, -6, 30]"
"[-32, 48, -53, 11, 62, -8, 30]"
"[-28, 48, -53, 10, 63, -8, 30]"
"[-22, 48, -53, 7, 63, -4, 30]"
"[-18, 48, -53, 6, 63, -2, 30]"
"[-15, 48, -53, 6, 63, -3, 30]"
"[-11, 48, -53, 6, 63, -3, 30]"
"[-6, 48, -53, 7, 65, -3, 30]"
"[-3, 48, -53, 8, 65, -5, 30]"
"[1, 48, -53, 8, 66, -6, 30]"
"[4, 48, -53, 9, 66, -6, 30]"
"[8, 48, -53, 12, 67, -7, 30]"
"[10, 48, -53, 13, 67, -8, 30]"
"[11, 48, -53, 16, 69, -13, 30]"
"[11, 46, -53, 18, 69, -17, 30]"
"[11, 46, -53, 18, 71, -16, 30]"
"[11, 46, -49, 18, 71, -15, 30]"
"[11, 46, -45, 18, 69, -15, 30]"
"[11, 47, -42, 18, 67, -15, 30]"
"[11, 47, -38, 18, 65, -15, 30]"
"[11, 47, -36, 17, 63, -15, 30]"
"[11, 47, -32, 15, 58, -15, 30]"
"[11, 47, -29, 14, 55, -15, 30]"
"[11, 47, -29, 14, 53, -14, 30]"
"[11, 47, -29, 14, 53, -13, 30]"
"[11, 47, -29, 14, 53, -13, 30]"
"[11, 47, -29, 12, 53, -12, 30]"
"[11, 47, -29, 10, 52, -8, 30]"
"[11, 47, -29, 10, 49, -6, 30]"
"[11, 51, -29, 10, 49, -5, 30]"
"[11, 52, -29, 10, 49, -5, 30]"
"[11, 52, -29, 10, 49, -4, 30]"
"[11, 54, -29, 10, 49, -3, 30]"
