1,0,1,28,14,-36,-1,55,11,190,-131,78,-124,-1
25,11,-6,28,-1,-36,-1,66,30,239,-86,81,-62,-1
71,12,-6,28,-1,-36,-1,25,70,238,-89,81,-18,-1
98,53,-6,20,-43,-25,-1,1,152,222,-90,80,-6,-1
98,86,-6,7,-68,-5,-1,-15,194,159,-158,82,-67,-1
98,91,-7,12,-70,0,73,-10,203,149,167,81,-106,73
97,91,-18,16,-50,-9,86,-11,243,151,-173,71,-88,86
97,100,-26,17,-54,-8,87,-13,281,142,-173,74,-90,87
93,104,-27,13,-56,-8,87,-1,289,129,-166,73,-83,87
90,104,-27,2,-54,-5,77,4,289,126,-168,71,-80,77
90,104,-27,4,-55,-5,56,6,290,125,-169,71,-82,56
90,100,-27,6,-52,-5,56,9,287,145,-173,74,-88,56
90,86,-33,9,-33,-9,56,9,290,212,-170,74,-85,56
90,81,-36,14,-24,-16,56,10,287,235,-164,72,-79,56
94,81,-37,14,-25,-14,56,-10,289,244,-170,75,-82,56
112,80,-43,49,-28,-42,56,-80,287,271,-174,77,-84,56
122,85,-44,61,-38,-47,56,-122,283,255,-176,77,-87,56
122,89,-44,61,-38,-43,56,-126,290,234,179,74,-93,56
122,90,-42,57,-39,-40,56,-125,287,222,-180,73,-91,56
122,94,-40,51,-41,-30,56,-129,291,199,173,73,-97,56
122,97,-40,50,-43,-28,56,-129,292,185,176,72,-95,56
122,97,-40,50,-42,-30,96,-130,292,183,-179,71,-89,96
122,88,-39,66,-33,-48,96,-119,272,212,-177,66,-87,96
122,62,-24,70,-24,-56,96,-78,187,239,174,68,-88,96
122,60,-23,70,-17,-48,0,-84,178,237,153,62,-105,0
122,59,-23,4,-10,12,0,-105,171,243,144,64,-98,0
89,31,-22,3,7,5,0,1,118,288,146,76,-125,0
24,12,-20,3,2,-4,0,54,24,316,-6,79,17,0
1,0,0,3,0,-4,0,56,1,212,-14,85,-13,0
1,0,0,3,16,-8,0,55,2,187,-155,78,-152,0
